timeframe,date,time,open,high,low,close,volume,instrument
M5,2020-11-18,14:50:22.375,1.18645,1.18654,1.1864,1.18651,90,EURUSD
M5,2020-11-18,14:50:22.379,1.32571,1.32577,1.32566,1.32572,103,GBPUSD
M5,2020-11-18,14:50:22.381,1878.89,1879.31,1878.89,1879.25,171,GOLD
M5,2020-11-18,14:50:22.383,1.18747,1.18759,1.18731,1.18731,203,EURUSD
M5,2020-11-18,14:50:22.386,1.32573,1.32602,1.32573,1.32597,144,GBPUSD
M5,2020-11-18,14:50:22.389,1879.25,1879.73,1879.17,1879.48,226,GOLD
M5,2020-11-18,14:50:22.517,1.32578,1.32598,1.32557,1.32567,257,GBPUSD
M5,2020-11-18,14:50:22.524,1879.88,1880.14,1879.36,1879.38,533,GOLD
M5,2020-11-18,14:54:59.761,1.18732,1.18767,1.18731,1.18746,214,EURUSD
M5,2020-11-18,14:54:59.763,1.32569,1.32607,1.32566,1.32567,277,GBPUSD
M5,2020-11-18,14:54:59.765,1879.37,1880.19,1879.26,1879.67,543,GOLD
M5,2020-11-18,14:59:59.429,1.32568,1.32648,1.32567,1.32601,372,GBPUSD
M5,2020-11-18,14:59:59.493,1.18747,1.18778,1.18747,1.18762,181,EURUSD
M5,2020-11-18,15:00:00.180,1879.68,1880.35,1879.43,1879.83,654,GOLD
timeframe,date,time,open,high,low,close,volume,instrument
M5,2020-11-18,15:01:17.024,1.18747,1.18778,1.18747,1.18762,181,EURUSD
M5,2020-11-18,15:01:17.027,1.32568,1.32648,1.32567,1.32601,372,GBPUSD
M5,2020-11-18,15:01:17.029,1879.68,1880.35,1879.43,1879.83,654,GOLD
M5,2020-11-18,15:04:59.668,1.1876,1.18773,1.1875,1.18763,239,EURUSD
M5,2020-11-18,15:04:59.670,1879.83,1881.2,1879.73,1880.87,584,GOLD
M5,2020-11-18,15:04:59.859,1.32601,1.32664,1.32601,1.3264,388,GBPUSD
M5,2020-11-18,15:09:59.641,1.32639,1.32697,1.32628,1.32665,371,GBPUSD
M5,2020-11-18,15:10:00.652,1880.84,1881.18,1880.11,1880.3,709,GOLD
M5,2020-11-18,15:10:00.819,1.18764,1.18788,1.18756,1.18767,277,EURUSD
M5,2020-11-18,15:14:59.491,1.18766,1.18796,1.18765,1.1878,258,EURUSD
M5,2020-11-18,15:14:59.493,1.32664,1.32677,1.32629,1.32642,255,GBPUSD
M5,2020-11-18,15:14:59.494,1880.31,1881.76,1880.28,1881.16,734,GOLD
M5,2020-11-18,15:19:59.543,1.32641,1.3274,1.32637,1.32729,398,GBPUSD
M5,2020-11-18,15:19:59.663,1.18778,1.18821,1.18778,1.18802,402,EURUSD
M5,2020-11-18,15:19:59.748,1881.16,1881.5,1880.78,1881.44,793,GOLD
M5,2020-11-18,15:24:59.600,1.18801,1.18835,1.18798,1.18825,254,EURUSD
M5,2020-11-18,15:24:59.602,1.32728,1.32796,1.32719,1.32755,503,GBPUSD
M5,2020-11-18,15:24:59.605,1881.41,1881.94,1881.13,1881.59,895,GOLD
M5,2020-11-18,15:29:59.535,1.32751,1.32788,1.3275,1.32767,367,GBPUSD
M5,2020-11-18,15:29:59.538,1881.58,1881.69,1880.94,1881.04,788,GOLD
M5,2020-11-18,15:30:00.874,1.18824,1.18826,1.18797,1.1881,241,EURUSD
M5,2020-11-18,15:34:59.627,1.18809,1.18812,1.18797,1.18799,193,EURUSD
M5,2020-11-18,15:34:59.637,1881.06,1881.09,1879.97,1880.28,796,GOLD
M5,2020-11-18,15:34:59.647,1.32769,1.32779,1.32721,1.32738,400,GBPUSD
M5,2020-11-18,15:39:59.949,1880.28,1882.13,1880.27,1882.0,824,GOLD
M5,2020-11-18,15:40:00.446,1.188,1.18843,1.188,1.18835,277,EURUSD
M5,2020-11-18,15:40:04.669,1.32741,1.32796,1.3274,1.32765,555,GBPUSD
M5,2020-11-18,15:44:59.522,1.18836,1.18836,1.18799,1.18824,275,EURUSD
M5,2020-11-18,15:45:00.020,1882.0,1882.23,1881.54,1881.93,879,GOLD
M5,2020-11-18,15:45:00.286,1.32761,1.32767,1.32728,1.32747,356,GBPUSD
M5,2020-11-18,15:49:59.509,1.32747,1.32759,1.32714,1.32759,293,GBPUSD
M5,2020-11-18,15:49:59.511,1881.92,1882.5,1881.61,1881.69,846,GOLD
M5,2020-11-18,15:49:59.523,1.18826,1.18837,1.18817,1.18836,219,EURUSD
M5,2020-11-18,15:54:59.430,1.32759,1.32793,1.32749,1.32763,369,GBPUSD
M5,2020-11-18,15:55:00.709,1881.69,1882.25,1881.18,1881.43,760,GOLD
M5,2020-11-18,15:55:02.231,1.18835,1.1884,1.1882,1.18839,208,EURUSD
M5,2020-11-18,15:59:59.376,1.32764,1.32796,1.32755,1.32756,568,GBPUSD
M5,2020-11-18,15:59:59.518,1881.43,1882.5,1881.43,1882.37,709,GOLD
M5,2020-11-18,15:59:59.531,1.1884,1.18855,1.18816,1.18816,501,EURUSD
M5,2020-11-18,16:04:59.779,1.18817,1.1883,1.1877,1.18814,536,EURUSD
M5,2020-11-18,16:04:59.782,1882.41,1883.29,1880.74,1881.93,1331,GOLD
M5,2020-11-18,16:05:04.243,1.32757,1.32799,1.32722,1.32769,665,GBPUSD
M5,2020-11-18,16:09:59.587,1.32769,1.32848,1.32742,1.32835,655,GBPUSD
M5,2020-11-18,16:09:59.588,1881.93,1882.51,1881.69,1882.48,768,GOLD
M5,2020-11-18,16:09:59.805,1.18813,1.18857,1.1881,1.18849,354,EURUSD
M5,2020-11-18,16:14:59.750,1882.46,1882.94,1881.42,1881.58,992,GOLD
M5,2020-11-18,16:15:00.175,1.32835,1.32857,1.32785,1.3285,419,GBPUSD
M5,2020-11-18,16:15:00.575,1.18848,1.18888,1.18826,1.18885,374,EURUSD
M5,2020-11-18,16:19:59.829,1.32851,1.32868,1.32816,1.32836,582,GBPUSD
M5,2020-11-18,16:19:59.831,1881.59,1881.86,1880.54,1881.37,793,GOLD
M5,2020-11-18,16:19:59.943,1.18886,1.18896,1.18849,1.18894,486,EURUSD
M5,2020-11-18,16:24:59.481,1.32836,1.32896,1.32829,1.32886,575,GBPUSD
M5,2020-11-18,16:24:59.483,1881.38,1881.73,1880.9,1881.72,920,GOLD
M5,2020-11-18,16:25:02.956,1.18892,1.18896,1.18864,1.18894,449,EURUSD
M5,2020-11-18,16:29:59.341,1.32887,1.32912,1.32865,1.32892,543,GBPUSD
M5,2020-11-18,16:29:59.500,1.18892,1.18903,1.18863,1.18864,394,EURUSD
M5,2020-11-18,16:29:59.644,1881.78,1883.82,1881.72,1883.71,1376,GOLD
M5,2020-11-18,16:34:59.388,1.18865,1.18881,1.18831,1.18839,333,EURUSD
M5,2020-11-18,16:34:59.390,1.32891,1.32904,1.32799,1.32799,542,GBPUSD
M5,2020-11-18,16:34:59.391,1883.74,1884.59,1883.49,1884.01,1076,GOLD
M5,2020-11-18,16:40:00.130,1.18838,1.18843,1.18773,1.18778,561,EURUSD
M5,2020-11-18,16:40:00.132,1.32799,1.32814,1.32756,1.32796,589,GBPUSD
M5,2020-11-18,16:40:00.207,1883.99,1884.17,1883.45,1883.82,744,GOLD
M5,2020-11-18,16:44:59.563,1.32797,1.32864,1.32791,1.32842,390,GBPUSD
M5,2020-11-18,16:44:59.988,1883.84,1884.28,1883.62,1883.64,507,GOLD
M5,2020-11-18,16:45:00.880,1.1878,1.1882,1.1878,1.18815,259,EURUSD
M5,2020-11-18,16:50:00.700,1.32846,1.32856,1.32812,1.32828,450,GBPUSD
M5,2020-11-18,16:50:04.563,1.18812,1.18818,1.18796,1.18812,278,EURUSD
M5,2020-11-18,16:50:10.761,1883.63,1884.18,1883.58,1884.1,555,GOLD
M5,2020-11-18,16:54:59.829,1884.09,1884.36,1883.34,1883.5,574,GOLD
M5,2020-11-18,16:55:01.338,1.18811,1.18834,1.18795,1.188,273,EURUSD
M5,2020-11-18,16:55:01.621,1.32832,1.32867,1.328,1.32842,405,GBPUSD
M5,2020-11-18,16:59:59.392,1.32841,1.32846,1.32806,1.32811,562,GBPUSD
M5,2020-11-18,16:59:59.603,1883.46,1883.83,1882.75,1883.38,925,GOLD
M5,2020-11-18,16:59:59.901,1.18799,1.18821,1.18751,1.18775,408,EURUSD
M5,2020-11-18,17:04:59.596,1.3281,1.32842,1.32785,1.3283,488,GBPUSD
M5,2020-11-18,17:05:00.101,1883.4,1883.66,1882.67,1882.96,782,GOLD
M5,2020-11-18,17:05:04.065,1.18774,1.18789,1.18753,1.18784,358,EURUSD
M5,2020-11-18,17:09:59.730,1882.96,1884.19,1882.9,1884.06,768,GOLD
M5,2020-11-18,17:10:00.229,1.18785,1.18882,1.18784,1.18862,399,EURUSD
M5,2020-11-18,17:10:03.328,1.32831,1.32917,1.32816,1.32887,466,GBPUSD
M5,2020-11-18,17:14:59.591,1884.04,1884.29,1881.95,1881.98,888,GOLD
M5,2020-11-18,17:15:00.076,1.18861,1.18875,1.1884,1.1884,287,EURUSD
M5,2020-11-18,17:15:03.422,1.32886,1.32934,1.32883,1.32905,427,GBPUSD
M5,2020-11-18,17:19:59.475,1881.96,1882.04,1881.04,1881.8,921,GOLD
M5,2020-11-18,17:20:01.655,1.32906,1.32936,1.32905,1.32909,394,GBPUSD
M5,2020-11-18,17:20:04.581,1.18841,1.18842,1.1882,1.18834,281,EURUSD
M5,2020-11-18,17:24:59.570,1.32908,1.32937,1.32856,1.3293,497,GBPUSD
M5,2020-11-18,17:24:59.572,1881.8,1881.99,1881.19,1881.5,838,GOLD
M5,2020-11-18,17:25:01.372,1.18833,1.18834,1.18794,1.18824,295,EURUSD
M5,2020-11-18,17:29:59.537,1.32929,1.32934,1.32877,1.3289,370,GBPUSD
M5,2020-11-18,17:29:59.616,1881.49,1881.52,1880.6,1880.86,661,GOLD
M5,2020-11-18,17:30:01.153,1.18823,1.18833,1.18779,1.18789,270,EURUSD
M5,2020-11-18,17:34:59.861,1.18787,1.18812,1.18779,1.18804,244,EURUSD
M5,2020-11-18,17:34:59.864,1.32891,1.32896,1.32854,1.32888,398,GBPUSD
M5,2020-11-18,17:34:59.868,1880.86,1880.93,1879.48,1879.51,776,GOLD
M5,2020-11-18,17:39:59.868,1879.51,1880.04,1877.74,1877.88,1168,GOLD
M5,2020-11-18,17:40:03.366,1.18806,1.18836,1.18794,1.18794,338,EURUSD
M5,2020-11-18,17:40:04.751,1.32889,1.32936,1.32857,1.32876,419,GBPUSD
M5,2020-11-18,17:44:59.415,1.32877,1.32924,1.32877,1.32906,383,GBPUSD
M5,2020-11-18,17:44:59.416,1877.9,1878.04,1876.59,1876.9,1180,GOLD
M5,2020-11-18,17:44:59.664,1.18793,1.18844,1.18793,1.18839,289,EURUSD
M5,2020-11-18,17:49:59.311,1.32905,1.32967,1.32905,1.32917,511,GBPUSD
M5,2020-11-18,17:49:59.816,1876.91,1877.92,1876.3,1877.43,1060,GOLD
M5,2020-11-18,17:50:00.817,1.1884,1.18876,1.18831,1.18862,363,EURUSD
M5,2020-11-18,17:54:59.624,1877.43,1878.55,1877.2,1878.55,912,GOLD
M5,2020-11-18,17:55:01.821,1.32918,1.32938,1.32911,1.32924,351,GBPUSD
M5,2020-11-18,17:55:02.312,1.18863,1.18885,1.18863,1.18872,173,EURUSD
M5,2020-11-18,17:59:59.331,1.32922,1.3293,1.329,1.32912,221,GBPUSD
M5,2020-11-18,17:59:59.335,1878.53,1879.42,1878.41,1879.42,805,GOLD
M5,2020-11-18,18:00:00.480,1.18874,1.18881,1.18863,1.18875,140,EURUSD
M5,2020-11-18,18:04:59.574,1.18874,1.18874,1.18812,1.18819,294,EURUSD
M5,2020-11-18,18:04:59.577,1.3291,1.32916,1.32864,1.32866,302,GBPUSD
M5,2020-11-18,18:04:59.581,1879.4,1879.52,1878.62,1878.81,638,GOLD
M5,2020-11-18,18:09:59.769,1.18816,1.18819,1.18796,1.18802,258,EURUSD
M5,2020-11-18,18:10:00.268,1878.82,1879.5,1878.39,1879.47,567,GOLD
M5,2020-11-18,18:10:15.027,1.32864,1.32874,1.32849,1.32858,286,GBPUSD
M5,2020-11-18,18:14:59.497,1.18801,1.18826,1.18788,1.18816,325,EURUSD
M5,2020-11-18,18:14:59.499,1.32856,1.32889,1.32841,1.32869,332,GBPUSD
M5,2020-11-18,18:15:00.821,1879.47,1879.81,1878.85,1879.52,673,GOLD
M5,2020-11-18,18:19:59.863,1.18815,1.1883,1.18802,1.1882,389,EURUSD
M5,2020-11-18,18:19:59.866,1879.55,1879.62,1877.95,1878.31,786,GOLD
M5,2020-11-18,18:20:01.887,1.3287,1.32903,1.32867,1.32897,344,GBPUSD
M5,2020-11-18,18:24:59.727,1878.26,1878.35,1876.77,1877.81,766,GOLD
M5,2020-11-18,18:25:00.251,1.32896,1.32897,1.32855,1.3289,292,GBPUSD
M5,2020-11-18,18:25:00.761,1.18821,1.18833,1.18793,1.18828,264,EURUSD
M5,2020-11-18,18:29:59.376,1.32891,1.32927,1.32879,1.32898,316,GBPUSD
M5,2020-11-18,18:29:59.524,1877.79,1878.14,1875.35,1876.14,968,GOLD
M5,2020-11-18,18:30:00.963,1.18829,1.18845,1.18812,1.1883,325,EURUSD
M5,2020-11-18,18:34:59.545,1876.14,1877.3,1875.8,1877.03,1026,GOLD
M5,2020-11-18,18:35:00.201,1.32901,1.32901,1.32862,1.32874,292,GBPUSD
M5,2020-11-18,18:35:00.713,1.18831,1.18842,1.18784,1.18784,222,EURUSD
M5,2020-11-18,18:39:59.652,1877.03,1877.52,1875.95,1876.13,822,GOLD
M5,2020-11-18,18:40:00.789,1.18785,1.18789,1.18768,1.18784,251,EURUSD
M5,2020-11-18,18:40:00.871,1.32873,1.32885,1.32844,1.3288,266,GBPUSD
M5,2020-11-18,18:44:59.616,1.18783,1.18796,1.18732,1.18735,372,EURUSD
M5,2020-11-18,18:44:59.619,1.3288,1.32887,1.32828,1.32843,393,GBPUSD
M5,2020-11-18,18:45:00.161,1876.15,1876.36,1871.5,1874.08,1884,GOLD
M5,2020-11-18,18:50:00.101,1.32844,1.32906,1.32844,1.32892,352,GBPUSD
M5,2020-11-18,18:50:00.135,1874.07,1875.0,1873.22,1873.37,1030,GOLD
M5,2020-11-18,18:50:07.575,1.18736,1.18767,1.1873,1.18739,430,EURUSD
M5,2020-11-18,18:55:01.039,1.1874,1.18745,1.18715,1.18745,253,EURUSD
M5,2020-11-18,18:55:01.057,1.3289,1.32894,1.32863,1.32885,411,GBPUSD
M5,2020-11-18,18:55:01.077,1873.38,1874.94,1872.88,1874.86,946,GOLD
M5,2020-11-18,19:00:01.640,1874.84,1875.01,1874.35,1874.7,502,GOLD
M5,2020-11-18,19:00:01.678,1.18746,1.18766,1.18728,1.18763,242,EURUSD
M5,2020-11-18,19:00:01.688,1.32888,1.32914,1.32848,1.32907,297,GBPUSD
M5,2020-11-18,19:05:00.667,1.18762,1.18776,1.18758,1.18761,245,EURUSD
M5,2020-11-18,19:05:00.683,1.32911,1.32931,1.32878,1.3288,244,GBPUSD
M5,2020-11-18,19:05:00.700,1874.71,1874.82,1873.6,1874.7,756,GOLD
M5,2020-11-18,19:09:59.448,1874.69,1874.82,1874.08,1874.72,767,GOLD
M5,2020-11-18,19:09:59.742,1.32879,1.3289,1.32856,1.32856,350,GBPUSD
M5,2020-11-18,19:10:00.247,1.18762,1.18762,1.18708,1.18709,314,EURUSD
M5,2020-11-18,19:15:00.315,1.32857,1.32869,1.32814,1.3284,310,GBPUSD
M5,2020-11-18,19:15:00.545,1874.71,1875.88,1874.24,1875.76,1080,GOLD
M5,2020-11-18,19:15:02.071,1.1871,1.18731,1.18689,1.18725,354,EURUSD
M5,2020-11-18,19:20:00.620,1.18726,1.18764,1.18725,1.18753,281,EURUSD
M5,2020-11-18,19:20:00.630,1.32841,1.32874,1.32841,1.3285,293,GBPUSD
M5,2020-11-18,19:20:00.885,1875.78,1876.35,1875.44,1875.47,854,GOLD
M5,2020-11-18,19:25:03.610,1.18752,1.18753,1.18701,1.18705,301,EURUSD
M5,2020-11-18,19:25:03.639,1875.51,1875.51,1874.71,1874.94,768,GOLD
M5,2020-11-18,19:25:03.681,1.32851,1.32854,1.32788,1.32797,268,GBPUSD
M5,2020-11-18,19:29:59.608,1.32799,1.32828,1.32795,1.32801,368,GBPUSD
M5,2020-11-18,19:29:59.871,1.18706,1.18722,1.18694,1.18721,273,EURUSD
M5,2020-11-18,19:29:59.889,1874.96,1875.15,1874.46,1875.04,604,GOLD
M5,2020-11-18,19:35:00.375,1875.02,1875.06,1874.16,1874.21,517,GOLD
M5,2020-11-18,19:35:01.013,1.32803,1.32835,1.32775,1.32789,284,GBPUSD
M5,2020-11-18,19:35:05.568,1.1872,1.18746,1.18713,1.1872,247,EURUSD
M5,2020-11-18,19:39:59.833,1.18719,1.18741,1.18698,1.18737,205,EURUSD
M5,2020-11-18,19:39:59.848,1.3279,1.32795,1.32739,1.32775,379,GBPUSD
M5,2020-11-18,19:39:59.877,1874.22,1874.98,1873.61,1874.96,785,GOLD
M5,2020-11-18,19:45:01.254,1.18736,1.18775,1.18735,1.18774,314,EURUSD
M5,2020-11-18,19:45:01.272,1.32774,1.32802,1.32766,1.32788,398,GBPUSD
M5,2020-11-18,19:45:02.072,1874.95,1875.97,1874.92,1875.47,705,GOLD
M5,2020-11-18,19:50:04.022,1875.32,1875.32,1869.39,1871.57,2814,GOLD
M5,2020-11-18,19:50:04.050,1.18775,1.1878,1.18723,1.18733,845,EURUSD
M5,2020-11-18,19:50:04.057,1.32788,1.32872,1.32771,1.32836,1156,GBPUSD
M5,2020-11-18,19:55:00.375,1871.55,1872.73,1869.99,1872.41,1593,GOLD
M5,2020-11-18,19:55:01.191,1.18732,1.18754,1.1871,1.18725,433,EURUSD
M5,2020-11-18,19:55:02.209,1.32835,1.32835,1.32786,1.32805,451,GBPUSD
M5,2020-11-18,19:59:59.663,1872.42,1872.87,1871.07,1871.51,1219,GOLD
M5,2020-11-18,19:59:59.720,1.18723,1.18733,1.187,1.18716,481,EURUSD
M5,2020-11-18,19:59:59.749,1.32806,1.32812,1.32735,1.32783,626,GBPUSD
M5,2020-11-18,20:04:59.559,1.18715,1.18717,1.18611,1.18621,893,EURUSD
M5,2020-11-18,20:04:59.561,1.32782,1.32795,1.32634,1.32661,1028,GBPUSD
M5,2020-11-18,20:04:59.562,1871.58,1871.59,1863.5,1867.53,3741,GOLD
M5,2020-11-18,20:09:59.303,1867.54,1867.87,1864.86,1867.36,2191,GOLD
M5,2020-11-18,20:10:00.538,1.18622,1.18691,1.18621,1.18676,728,EURUSD
M5,2020-11-18,20:10:00.590,1.32662,1.32731,1.32662,1.32716,748,GBPUSD
M5,2020-11-18,20:14:59.642,1867.36,1868.13,1866.26,1868.13,1536,GOLD
M5,2020-11-18,20:14:59.692,1.32717,1.32753,1.32689,1.32694,489,GBPUSD
M5,2020-11-18,20:15:01.953,1.18678,1.18706,1.18674,1.18695,391,EURUSD
M5,2020-11-18,20:20:10.737,1.18696,1.187,1.18662,1.18675,462,EURUSD
M5,2020-11-18,20:20:10.739,1.32694,1.32733,1.32691,1.32716,455,GBPUSD
M5,2020-11-18,20:20:10.745,1868.17,1869.95,1867.53,1869.63,1223,GOLD
M5,2020-11-18,20:20:11.273,1.18696,1.187,1.18662,1.18675,462,EURUSD
M5,2020-11-18,20:20:11.339,1.32694,1.32733,1.32691,1.32716,455,GBPUSD
M5,2020-11-18,20:20:11.342,1868.17,1869.95,1867.53,1869.63,1223,GOLD
M5,2020-11-18,20:21:15.255,1.18696,1.187,1.18662,1.18675,462,EURUSD
M5,2020-11-18,20:21:15.257,1.32694,1.32733,1.32691,1.32716,455,GBPUSD
M5,2020-11-18,20:21:15.259,1868.17,1869.95,1867.53,1869.63,1223,GOLD
M5,2020-11-18,20:25:00.176,1.3272,1.32765,1.32715,1.32748,332,GBPUSD
M5,2020-11-18,20:25:00.245,1.18677,1.18702,1.1867,1.18684,359,EURUSD
M5,2020-11-18,20:25:00.644,1869.62,1871.15,1869.17,1870.24,1317,GOLD
M5,2020-11-18,20:29:59.225,1.18685,1.18698,1.1866,1.18668,311,EURUSD
M5,2020-11-18,20:29:59.233,1.32749,1.3278,1.32742,1.32758,407,GBPUSD
M5,2020-11-18,20:29:59.235,1870.22,1872.28,1869.54,1871.22,1594,GOLD
M5,2020-11-18,20:34:59.507,1871.22,1872.1,1870.63,1870.71,967,GOLD
M5,2020-11-18,20:35:01.277,1.32757,1.32794,1.32753,1.32758,366,GBPUSD
M5,2020-11-18,20:35:04.086,1.18668,1.18694,1.18659,1.18664,350,EURUSD
M5,2020-11-18,20:40:01.487,1.18662,1.18662,1.18605,1.18634,321,EURUSD
M5,2020-11-18,20:40:01.500,1870.69,1871.09,1868.51,1869.5,1259,GOLD
M5,2020-11-18,20:40:02.453,1.32757,1.32774,1.32728,1.32768,326,GBPUSD
M5,2020-11-18,20:44:59.352,1.32767,1.32776,1.32753,1.32758,249,GBPUSD
M5,2020-11-18,20:44:59.414,1.18635,1.18657,1.18629,1.18653,235,EURUSD
M5,2020-11-18,20:44:59.763,1869.5,1870.64,1869.49,1870.64,855,GOLD
